Compound,Date,Negative,Neutral,News Station,Positive,Tweet_text
0.0,Tue Jan 09 13:00:10 +0000 2018,0.0,1.0,@BBC,0.0,Feast your mince pies on this Cockney rhyming slang quiz. 👉 https://t.co/JQaEbCQUtZ https://t.co/LpKcYHUJCN
-0.4215,Tue Jan 09 12:37:58 +0000 2018,0.149,0.851,@BBC,0.0,"RT @bbcthree: ""Do you regret keeping him?""

And other things not to say to single parents. https://t.co/CeTGyVVwD0"
0.6705,Tue Jan 09 12:30:03 +0000 2018,0.0,0.756,@BBC,0.244,"The @HairyBikers stuffed aubergines are easy enough to feed a crowd but special enough for a weekend lunch. 🍆🍴

Ful… https://t.co/aruvje4KAF"
0.0,Tue Jan 09 12:01:03 +0000 2018,0.0,1.0,@BBC,0.0,Joanna Lumley is to replace Stephen Fry as host of this year's #BAFTAs. ✨ 🌟 🎬 https://t.co/ae94Exjzfu https://t.co/ZBGk0xjfzt
-0.5574,Tue Jan 09 11:36:03 +0000 2018,0.194,0.806,@BBC,0.0,One of the world's oldest silverback male gorillas has died at Longleat Safari Park. 💔 https://t.co/lMrxmoe7kG https://t.co/HIsPtnqJr3
-0.2023,Tue Jan 09 11:13:37 +0000 2018,0.096,0.904,@BBC,0.0,"'A single shower can result in 100,000 plastic particles entering the ocean.'

Why #microbeads are controversial. 👉… https://t.co/q7QcOsYT4g"
0.4588,Tue Jan 09 10:52:30 +0000 2018,0.0,0.842,@BBC,0.158,"🎭🏆 Natalie Dormer and @LetitiaWright announce nominations for this year's #BAFTAs.

British Academy Film Awards | S… https://t.co/tOeRYkiCut"
0.0,Tue Jan 09 09:00:05 +0000 2018,0.0,1.0,@BBC,0.0,Do you know the answer? 🤔 https://t.co/EpDXFLZv93 https://t.co/wKPZAIkHhR
-0.5423,Tue Jan 09 08:45:47 +0000 2018,0.304,0.696,@BBC,0.0,RT @BBCWorld: Australian animals suffer through extreme heat https://t.co/JYntMzQuoX
-0.4215,Tue Jan 09 08:41:09 +0000 2018,0.149,0.851,@BBC,0.0,"RT @bbcthree: ""Do you regret keeping him?""

And other things not to say to single parents. https://t.co/nEyDAacVxT"
0.802,Tue Jan 09 08:41:02 +0000 2018,0.0,0.754,@BBC,0.246,"RT @BBCOne: SO MUCH LOVE FOR THE WORLD'S SMALLEST CAT! 😍  

🐯 #BigCats, starts Thursday at 8pm on @BBCOne and @BBCiPlayer.
https://t.co/YYQ…"
0.0,Tue Jan 09 08:40:50 +0000 2018,0.0,1.0,@BBC,0.0,RT @BBCNewsEnts: Have a look at who's been nominated for the #Baftas https://t.co/OSkPgdpMAS
0.0,Tue Jan 09 08:40:02 +0000 2018,0.0,1.0,@BBC,0.0,"This man has been reunited with his digital camera following a social media campaign, a year after it was swept awa… https://t.co/PgZ72xbKdN"
0.0,Tue Jan 09 08:39:48 +0000 2018,0.0,1.0,@BBC,0.0,RT @BBCNewsEnts: #Baftas new host - Joanna Lumley! https://t.co/fXiYK7j8Dn
-0.4588,Tue Jan 09 08:20:04 +0000 2018,0.15,0.85,@BBC,0.0,"🦏 Between 2007-14, rhino poaching rose 9000%. The very existence of the species is threatened by organised crime.… https://t.co/MM90i44O8U"
-0.6705,Tue Jan 09 08:00:04 +0000 2018,0.244,0.756,@BBC,0.0,More than half a million tonnes of plastic and other untreated waste is dumped into the Ganges each year. https://t.co/fqsGo3x3F9
0.4404,Tue Jan 09 07:38:04 +0000 2018,0.0,0.892,@BBC,0.108,"It's the time of year to switch your phone off, put the kettle on &amp; get between the covers - of a good book that is… https://t.co/oUtgWBVBHu"
0.296,Mon Jan 08 21:29:44 +0000 2018,0.0,0.905,@BBC,0.095,"RT @bbc5live: Looking for some exercise and nutrition advice? 💪

Joe Wicks, aka @thebodycoach, shares his tips on how to sustain a long ter…"
0.0,Mon Jan 08 21:29:01 +0000 2018,0.0,1.0,@BBC,0.0,"RT @bbcasiannetwork: 📡 The Asian Network Future Sounds 2018 list is live! 📡
⬇️ Get these artists on your radar right now ⬇️
@rikaldn 
@nash…"
-0.1655,Mon Jan 08 21:28:07 +0000 2018,0.099,0.831,@BBC,0.069,"RT @bbcthesocial: Jordan thought nobody would give him a chance after prison, but now he's training to be a chef 

#IntoIt https://t.co/GVV…"
0.3182,Mon Jan 08 21:27:12 +0000 2018,0.0,0.905,@BBC,0.095,"RT @bbcworldservice: ""Our job as journalists is to bring the story back and to make sure that these things are not invisible."" @cmittermeie…"
-0.25,Mon Jan 08 21:23:06 +0000 2018,0.118,0.882,@BBC,0.0,RT @BBCiPlayer: 🎁 #HardSun is the new #boxset to get stuck into this week. #iplayerit https://t.co/7AEUPTrmRV https://t.co/DTxDAF4217
0.0772,Mon Jan 08 21:22:32 +0000 2018,0.0,0.939,@BBC,0.061,RT @BBCWthrWatchers: Some cracking sunsets 🌇 in the north of the UK earlier. Cloudier conditions arriving overnight may limit the number of…
0.0,Mon Jan 08 20:30:06 +0000 2018,0.0,1.0,@BBC,0.0,"The #SilentWitness team are back. 

9pm | @BBCOne | https://t.co/nluMqMB9kB https://t.co/XNJzlzoti7"
0.0,Mon Jan 08 20:04:03 +0000 2018,0.0,1.0,@BBC,0.0,Recy Taylor: who was the woman Oprah mentioned in her #GoldenGlobes speech? https://t.co/tiynXeMmCO https://t.co/1Pw4pUEQRY
0.0,Mon Jan 08 19:37:04 +0000 2018,0.0,1.0,@BBC,0.0,"Tonight, go beyond the theatre doors and discover how surgeons push medical boundaries to the limits. 🏥 

Surgeons:… https://t.co/ZOnkfmFkDY"
0.1779,Mon Jan 08 19:02:01 +0000 2018,0.088,0.793,@BBC,0.119,"🦌❄ The moment a moose, which got stuck up to its neck in snow, is freed by rescuers in Canada. 👏 https://t.co/edDNzLFP2c"
-0.126,Mon Jan 08 18:32:04 +0000 2018,0.077,0.923,@BBC,0.0,🏝😁 This year you can get 24 days off in a row using just 14 days of leave! https://t.co/ffVi0OKWIv https://t.co/3bIJLmeK4s
0.0,Mon Jan 08 18:02:04 +0000 2018,0.0,1.0,@BBC,0.0,🎒📚 It was a big day for Princess Charlotte today as she started at nursery school. https://t.co/uZm4XqMPhV https://t.co/tVw11CKnVf
0.0,Mon Jan 08 17:30:06 +0000 2018,0.0,1.0,@BBC,0.0,♿✈This mum is taking on the global airline industry to get wheelchairs allowed on planes. https://t.co/C5suKv2fJy
0.0,Mon Jan 08 17:09:03 +0000 2018,0.0,1.0,@BBC,0.0,"This #MeatFreeMonday, why not give one of these veggie pasta bakes a go? 🍅🍆🍝 https://t.co/BFvmdF4FZi https://t.co/ZRXjL2ZASs"
0.0,Mon Jan 08 16:48:04 +0000 2018,0.0,1.0,@BBC,0.0,"'I still have that karaoke machine!' 🎤❤️️

@Camila_Cabello explains how a @BritneySpears karaoke CD made her Christ… https://t.co/G2WJxboW67"
0.0,Mon Jan 08 16:33:07 +0000 2018,0.0,1.0,@BBC,0.0,These are some of the most striking photographs taken last week from around the world. 📸 https://t.co/nbDyZEg9YW https://t.co/ixljaLS7bq
0.0,Mon Jan 08 16:00:05 +0000 2018,0.0,1.0,@BBC,0.0,Judi Dench and Maggie Smith star as two sisters whose lives are changed when they befriend a man they find on the b… https://t.co/a9hqMWL9bV
0.0772,Mon Jan 08 15:27:21 +0000 2018,0.0,0.925,@BBC,0.075,"📚Eight books that will make you want to run away with the circus. 🎪🤸 https://t.co/ahZU4Dn2kD

#LoveToRead https://t.co/FnPS49sYg6"
0.6908,Mon Jan 08 15:00:07 +0000 2018,0.0,0.769,@BBC,0.231,💔💍 If you're married then it might be best to tread carefully today which has been dubbed #DivorceDay by lawyers.… https://t.co/tamDjAjpmp
0.5106,Mon Jan 08 14:30:06 +0000 2018,0.0,0.71,@BBC,0.29,Repeat bouts of warmer seawater are posing a significant challenge to the world's coral reefs. 🌊 🐠 🐢… https://t.co/nLE91lQxyt
0.3182,Mon Jan 08 14:03:04 +0000 2018,0.111,0.728,@BBC,0.161,"'Having kids ruins your life in the best way possible.'
11 things we learned from Charlie Brooker’s Desert Island D… https://t.co/qcyMA9KdNA"
-0.6739,Mon Jan 08 13:43:59 +0000 2018,0.476,0.524,@BBC,0.0,RT @bbcthesocial: WTF is #hygge? https://t.co/M04sxI3XMt
0.0,Mon Jan 08 13:40:41 +0000 2018,0.0,1.0,@BBC,0.0,RT @bbcrb: Any spare paper laying about in your office? Donate some today ! 🐱 https://t.co/FWCGmnJK6Y
0.4019,Mon Jan 08 13:33:04 +0000 2018,0.0,0.863,@BBC,0.137,"New year, new me? 🤔 

🌋 🐎  From taking photos inside active volcanoes to jousting, here are 8 hobbies you probably… https://t.co/wGtHBd3TK1"
0.0,Mon Jan 08 13:00:08 +0000 2018,0.0,1.0,@BBC,0.0,🏁🏎 This 16-year-old girl from East Kilbride has made F4 motor racing history. https://t.co/LHhhU6vKY8
0.8176,Mon Jan 08 12:40:13 +0000 2018,0.0,0.702,@BBC,0.298,RT @BBCCornwall: 🐬🐬 Even the dolphins had a lovely time playing in the #SundaySunshine in Mounts Bay 🌊🐬🐬🌞 Thanks to #drone operator Simon S…
0.0,Mon Jan 08 12:37:56 +0000 2018,0.0,1.0,@BBC,0.0,RT @BBC100women: The red carpet was a sea of black dresses and suits at the #GoldenGlobes.  Stars discuss #WhyWeWearBlack and make it very…
0.0,Mon Jan 08 12:37:14 +0000 2018,0.0,1.0,@BBC,0.0,"RT @BBCSpringwatch: 50 million trees are going to be planted 🌳
https://t.co/x4Enjn8H2A"
0.1935,Mon Jan 08 12:37:05 +0000 2018,0.0,0.836,@BBC,0.164,"RT @bbccomedy: So, how you feeling today? 🤔😃 #MondayMotivation https://t.co/dyRd1shmfq"
0.4019,Mon Jan 08 12:36:01 +0000 2018,0.0,0.891,@BBC,0.109,"RT @BBCOne: 🐱 Thick fur and enormous feet help Canada lynx deal with deep snow and arctic conditions. 

🆕 #BigCats, Thursday at 8pm on @BBC…"
0.0,Mon Jan 08 12:29:03 +0000 2018,0.0,1.0,@BBC,0.0,"On what would have been #DavidBowie's 71st birthday, here are 8 life lessons we can take away from the Star Man's t… https://t.co/kbSD0N77jx"
0.4939,Mon Jan 08 12:28:45 +0000 2018,0.0,0.868,@BBC,0.132,"RT @bbcasiannetwork: 🌿 ""They walk in the room and they let everybody know.""
@iamwill tells @HarpreetUK how he's been inspired to ditch the…"
0.0,Mon Jan 08 11:53:03 +0000 2018,0.0,1.0,@BBC,0.0,"💡Our universe has a speed limit of 299,792 km p/s (which is also the rate at which light travels), but what is it t… https://t.co/dFDyB5aZ1F"
0.0,Mon Jan 08 11:29:26 +0000 2018,0.0,1.0,@BBC,0.0,The biggest moments from last night's #GoldenGlobes. ✨ 👉 https://t.co/GZCJztqRln https://t.co/23LJXnf3wN
0.4215,Mon Jan 08 09:57:36 +0000 2018,0.0,0.763,@BBC,0.237,Some powerful speeches and statements from this year's #GoldenGlobes. https://t.co/ewKAhPtHoV
0.5994,Mon Jan 08 09:00:06 +0000 2018,0.0,0.837,@BBC,0.163,We have a 'supermoon trilogy' coming in January &amp; the final one - a 'Super Blue Blood Moon' - could be the most rar… https://t.co/nbwHZdXRSh
0.0,Mon Jan 08 08:46:52 +0000 2018,0.0,1.0,@BBC,0.0,RT @BBCWorld: Golden Globes 2018: Why stars wore black on the red carpet https://t.co/P4LUZTeOFQ
-0.4019,Mon Jan 08 08:46:36 +0000 2018,0.177,0.742,@BBC,0.081,RT @BBCEngland: Commuters face up to three days of disruption as staff at five train firms begin a fresh wave of strikes in separate disput…
0.0,Mon Jan 08 08:45:11 +0000 2018,0.0,1.0,@BBC,0.0,"RT @BBCNewsbeat: Here are the eight big moments from the #GoldenGlobes last night:

https://t.co/DzbliYugWt https://t.co/zDM1kl7WNm"
0.2755,Mon Jan 08 08:44:58 +0000 2018,0.0,0.883,@BBC,0.117,RT @bbcthree: You'll never complain about your commute again after you see these bonkers journeys https://t.co/43I5HefpJ8 https://t.co/dzWJ…
0.4574,Mon Jan 08 08:44:11 +0000 2018,0.0,0.87,@BBC,0.13,"RT @bbcgetinspired: You can do it! 🙌 

@AdeleRoberts is on a mission to get you active with her January health hacks. #GetInspired #MondayM…"
0.0,Mon Jan 08 08:44:05 +0000 2018,0.0,1.0,@BBC,0.0,"RT @bbcworldservice: ""The fact that we have an epidemic of depression... is telling us that we've built a society that doesn't match people…"
0.0,Mon Jan 08 08:40:02 +0000 2018,0.0,1.0,@BBC,0.0,"Beef farmer Jay gave up his family farm to send his herd to live out their days in a sanctuary. 🐄❤️️
#EverydayHeroes https://t.co/IjBP8kxfNA"
0.0,Mon Jan 08 08:40:00 +0000 2018,0.0,1.0,@BBC,0.0,"RT @BBC6Music: 👨‍🎤 Today would have been David Bowie's 71st Birthday. In 1973 on @BBC's Nationwide, he contemplated life after Ziggy Stardu…"
0.0,Mon Jan 08 08:33:02 +0000 2018,0.0,1.0,@BBC,0.0,When you wake up and remember you're expected to work five whole days this week. 😒 #MondayMorning https://t.co/Ju3oKV1rep
0.0,Mon Jan 08 08:00:08 +0000 2018,0.0,1.0,@BBC,0.0,☕️😴 Why do some people need several cups of coffee just to get through the day? https://t.co/L3POHVgHjE
0.4588,Mon Jan 08 07:38:10 +0000 2018,0.0,0.667,@BBC,0.333,🌵🌺🌴 Preserving Morocco's grand gardens. https://t.co/Rh4tovuLZu https://t.co/KVYNRy7ZdT
0.2263,Sun Jan 07 20:03:03 +0000 2018,0.107,0.734,@BBC,0.158,"Switzerland's Schindler? 
Carl Lutz is the forgotten Swiss diplomat who rescued thousands from Holocaust.… https://t.co/LNzRhFR6LN"
0.7351,Sun Jan 07 19:30:04 +0000 2018,0.0,0.721,@BBC,0.279,"Tonight, Michael Palin shares the story behind his outstanding career in television and film. ✨ 

Michael Palin: A… https://t.co/VOYzhp6JyU"
0.0,Sun Jan 07 19:25:10 +0000 2018,0.0,1.0,@BBC,0.0,RT @BBCWorld: Snowing or glowing? https://t.co/em8Ks1aGPZ
0.0,Sun Jan 07 19:22:48 +0000 2018,0.0,1.0,@BBC,0.0,"RT @BBCRadio4: 🎪 Roll up! Roll up!
https://t.co/AeAloY7XGG"
0.0,Sun Jan 07 19:19:39 +0000 2018,0.0,1.0,@BBC,0.0,"RT @bbccomedy: We can't keep up with the Karcrashians. OHMIGOD, SO PWETTY!!!! https://t.co/eJV7FijmOB"
-0.1531,Sun Jan 07 19:18:56 +0000 2018,0.074,0.926,@BBC,0.0,"RT @bbcmusic: Ed Sheeran performing 'Perfect' with Jools Holland and his Rhythm &amp; Blues Orchestra was rather exceptional 💕
-
Miss the show?…"
0.3612,Sun Jan 07 19:00:05 +0000 2018,0.0,0.898,@BBC,0.102,"You can learn what an animal sounds like from what it evolved to hear. 

And it turns out, T rex sounded nothing li… https://t.co/BuXuJ3majp"
0.0,Sun Jan 07 18:32:03 +0000 2018,0.0,1.0,@BBC,0.0,"Tonight, David Attenborough attempts to animate the life of a 200-million-year-old ichthyosaur. 🌊 

Attenborough an… https://t.co/xWsAFgCQu8"
0.6369,Sun Jan 07 17:59:05 +0000 2018,0.0,0.682,@BBC,0.318,Budget Italian feasts the whole family will love. 🍝 https://t.co/MtSlOvp6m6 https://t.co/8fCY2ToBM6
0.4215,Sun Jan 07 17:19:01 +0000 2018,0.0,0.797,@BBC,0.203,"What's the true scale of the global trade in humans? 
#McMafia https://t.co/3X7YDsabMv"
0.128,Sun Jan 07 16:53:27 +0000 2018,0.308,0.359,@BBC,0.333,"The best, worst and weirdest #FACup fan fashion. ⚽️💅 https://t.co/hDEBwew84U https://t.co/1DMfVbC8oJ"
-0.0258,Sun Jan 07 16:34:03 +0000 2018,0.155,0.695,@BBC,0.15,RT @BBC_designed: Eastern Block design is back and it’s inspiring a whole new fashion movement. 🎉 https://t.co/xS6vJ68vX8
0.5859,Sun Jan 07 16:31:59 +0000 2018,0.0,0.612,@BBC,0.388,RT @BBCWorld: A beauty contest with a difference 🐟 https://t.co/ardDeFBwO5
0.6369,Sun Jan 07 16:31:55 +0000 2018,0.0,0.769,@BBC,0.231,RT @bbcthree: Becoming a single mum was the best thing that happened to me  https://t.co/64ZeqQRwE0 https://t.co/bJROBhtERz
0.0,Sun Jan 07 16:31:45 +0000 2018,0.0,1.0,@BBC,0.0,RT @BBCScotland: 'Official sightings' of Nessie in 2017 were the highest this century 🐉 https://t.co/eToUiRbB0Z
0.0258,Wed Jan 10 03:16:04 +0000 2018,0.0,0.916,@CNN,0.084,"Immigration, Trump and you: 5 things happening now, and why they matter https://t.co/2xEPmxKekv https://t.co/mmsXEDwywV"
-0.0772,Wed Jan 10 03:15:19 +0000 2018,0.133,0.788,@CNN,0.079,"RT @AC360: Reptiles used to warm weather are coping with freezing cold temperatures in strange ways, leading to sightings of alligator snou…"
0.0,Wed Jan 10 03:11:07 +0000 2018,0.0,1.0,@CNN,0.0,Here are 3 TVs that could change how you watch movies https://t.co/GRFFGdxUCT https://t.co/m0NfV17WTs
0.0,Wed Jan 10 03:06:28 +0000 2018,0.0,1.0,@CNN,0.0,"Jorge Ramos on Trump calling for border wall to be part of DACA deal: ""If he wants the wall, let him have the wall.… https://t.co/UpfSm1Gs5D"
-0.4939,Wed Jan 10 03:06:20 +0000 2018,0.176,0.824,@CNN,0.0,"RT @CNNTonight: Trump dossier author feared the candidate was being blackmailed, testimony shows https://t.co/61wdJSXdSD 
CNN's @jimsciutto…"
0.5719,Wed Jan 10 03:03:04 +0000 2018,0.0,0.761,@CNN,0.239,".@CillizzaCNN: Oprah Winfrey is ""Democrats' platonic ideal of what you challenge Donald Trump with"" -- successful,… https://t.co/blHYyPlYRU"
0.0,Wed Jan 10 03:01:10 +0000 2018,0.0,1.0,@CNN,0.0,Some members of Congress plan to wear black during President Trump's first State of the Union address in a gesture… https://t.co/ZYZ7Re5g9g
0.0,Wed Jan 10 02:54:03 +0000 2018,0.0,1.0,@CNN,0.0,Lands' End is making new uniforms for American Airlines employees https://t.co/XsTNPGIvdb https://t.co/m616B8NCqo
0.0,Wed Jan 10 02:50:39 +0000 2018,0.0,1.0,@CNN,0.0,"Jennifer Granholm: We will know where President Trump really stands on immigration reform ""when he watches Fox and… https://t.co/uPf2Rmgcma"
0.0516,Wed Jan 10 02:41:02 +0000 2018,0.0,0.934,@CNN,0.066,"Senate Majority Leader Mitch McConnell reaches out to ""Hillbilly Elegy"" author JD Vance about a potential Senate ru… https://t.co/ILGP19vzc7"
-0.1531,Wed Jan 10 02:31:03 +0000 2018,0.158,0.724,@CNN,0.118,San Antonio top cop under fire after releasing immigrants to a nonprofit https://t.co/ECPHAScrmU https://t.co/ANlTpFXGYU
-0.0772,Wed Jan 10 02:30:19 +0000 2018,0.145,0.769,@CNN,0.086,"Reptiles used to warm weather are coping with freezing cold temperatures in strange ways, leading to sightings of a… https://t.co/lj65zlnm2M"
0.6597,Wed Jan 10 02:29:46 +0000 2018,0.094,0.669,@CNN,0.236,"Anthony Scaramucci: Steve Bannon was a bad choice, but President Trump's pivot is the ""hallmark of a great Presiden… https://t.co/U5W0wHrLh1"
0.0,Wed Jan 10 02:21:05 +0000 2018,0.0,1.0,@CNN,0.0,"Just hours after a bipartisan meeting, President Trump tweeted that he still wanted to see a wall on the southern U… https://t.co/k2NOLwi2HB"
0.5951,Wed Jan 10 02:11:34 +0000 2018,0.0,0.804,@CNN,0.196,"RT @AC360: .@jorgeramosnews: ""Republicans control the White House, they control Congress -- if they really, really want the DREAM Act, if t…"
0.0,Wed Jan 10 02:11:05 +0000 2018,0.0,1.0,@CNN,0.0,Senators grill President Trump's Health and Human Services pick Alex Azar on drug prices and Medicaid… https://t.co/UPArT9isk5
-0.1032,Wed Jan 10 02:07:44 +0000 2018,0.117,0.783,@CNN,0.1,"Jorge Ramos: ""I don't know exactly what President Trump wants. What I know for sure is that I cannot trust Presiden… https://t.co/o3A3479zSn"
0.2584,Wed Jan 10 02:05:20 +0000 2018,0.0,0.903,@CNN,0.097,"Sen. John Kennedy on the release of Trump-Russia dossier testimony: ""It doesn't bother me to have the American peop… https://t.co/6zodirDuJs"
0.0,Wed Jan 10 02:05:03 +0000 2018,0.0,1.0,@CNN,0.0,"North Korea may be sending athletes to the Winter Olympic Games in Pyeongchang. Here's how wrestling, rugby, ping-p… https://t.co/E5TG8CC9v4"
0.0,Wed Jan 10 02:01:11 +0000 2018,0.0,1.0,@CNN,0.0,"YouTube says it is looking into ""further consequences"" for Logan Paul, the user who recently posted a video showing… https://t.co/hOAqrk7v9N"
0.0,Wed Jan 10 01:51:06 +0000 2018,0.0,1.0,@CNN,0.0,President Donald Trump's border wall might not be as long as some originally envisioned https://t.co/phtvIiWKjK https://t.co/qlG22nL68u
0.0,Wed Jan 10 01:45:13 +0000 2018,0.0,1.0,@CNN,0.0,"""Here's what he didn't have, he didn't have a plan"": Rep. Luis Gutierrez says Trump's televised bipartisan meeting… https://t.co/usvGCnzlfO"
-0.296,Wed Jan 10 01:41:05 +0000 2018,0.109,0.891,@CNN,0.0,Twitter missed a Senate intel panel deadline to answer questions about Russian meddling in the 2016 election and it… https://t.co/n1RmoGlHR4
0.0,Wed Jan 10 01:38:09 +0000 2018,0.0,1.0,@CNN,0.0,North Carolina will have to redraw its congressional districts after federal judges ruled the map unconstitutionall… https://t.co/qX6gXirZbM
0.0,Wed Jan 10 01:34:44 +0000 2018,0.0,1.0,@CNN,0.0,"The Trump administration said that it would not seek to bring oil and gas drilling to the waters off Florida, conce… https://t.co/by3Hzsm6Fg"
0.6124,Wed Jan 10 01:31:09 +0000 2018,0.0,0.75,@CNN,0.25,Most PCs will get slower because of the fix to protect against a major microchip security flaw… https://t.co/IDExUj4Yto
0.0,Wed Jan 10 01:27:57 +0000 2018,0.0,1.0,@CNN,0.0,"RT @AC360: #KeepingThemHonest: DACA only? DACA plus the wall? 
""In the space of literally two minutes, the President seemed to totally aban…"
0.6486,Wed Jan 10 01:21:07 +0000 2018,0.0,0.762,@CNN,0.238,"With a net worth of more than $105 billion, Jeff Bezos is now the richest person in history https://t.co/Y58YhxrVfQ https://t.co/rcw8hPBlt4"
0.0,Wed Jan 10 01:19:04 +0000 2018,0.0,1.0,@CNN,0.0,"RT @OutFrontCNN: ""Here's what he didn't have, he didn't have a plan"" - Rep. Luis Gutierrez says Trump's televised bipartisan meeting was al…"
0.0,Wed Jan 10 01:11:05 +0000 2018,0.0,1.0,@CNN,0.0,10 House seats that could flip due to Republican retirements https://t.co/Bb2bhnLVMm https://t.co/vd4r5xWXKI
-0.296,Wed Jan 10 01:06:08 +0000 2018,0.18,0.82,@CNN,0.0,Even the iPhone's designer is worried about phone addiction https://t.co/GDbJjIABOb https://t.co/T7Z5yhFLJL
0.0,Wed Jan 10 01:00:10 +0000 2018,0.0,1.0,@CNN,0.0,"Tonight at 9p on #CuomoPrimetime, Chris Cuomo asks Anthony Scaramucci about Steve Bannon’s departure from Brietbart… https://t.co/o48l4bK2Mm"
0.6486,Wed Jan 10 00:51:42 +0000 2018,0.0,0.773,@CNN,0.227,"""Anything Oprah sets her mind to, she does pretty well.  Everything she touches, turns to gold.""

Richard Sher, for… https://t.co/zp4W6eNipy"
0.0,Wed Jan 10 00:48:10 +0000 2018,0.0,1.0,@CNN,0.0,"RT @OutFrontCNN: Tonight at 9p on #CuomoPrimetime, Chris Cuomo asks Anthony Scaramucci about Steve Bannon’s departure from Brietbart and Pr…"
